StartAirport,EndAirport,TripID,Type,ActivityID,ActivityCostAUD,AirlineCode,Aircraft,ServiceClass,FlightNumber,StartCountry,StartCityName,StartLat,StartLong,StartDate,StartTime,EndCountry,EndCityName,EndLat,EndLong,EndDate,EndTime,Stops,DistanceKM
CMB,MEL,296858014,Air,1116754871,1956.2,UL,Airbus A330-300,Economy,604,LK,Colombo,7.174112,79.886494,7/12/19,0:25:00,AU,Melbourne,-37.673295,144.843013,7/12/19,15:55:00,nonstop,8358
BOM,CMB,296858014,Air,1116754871,1956.2,UL,Airbus A330-300,Economy,144,IN,Mumbai,19.089891,72.868047,5/12/19,20:45:00,LK,Colombo,7.174112,79.886494,5/12/19,23:10:00,nonstop,1526
CMB,BOM,296858014,Air,1116754871,1956.2,UL,Airbus A330-300,Economy,141,LK,Colombo,7.174112,79.886494,30/11/19,23:40:00,IN,Mumbai,19.089891,72.868047,1/12/19,2:10:00,nonstop,1526
MEL,CMB,296858014,Air,1116754871,1956.2,UL,Airbus A330-300,Economy,605,AU,Melbourne,-37.673295,144.843013,30/11/19,17:25:00,LK,Colombo,7.174112,79.886494,30/11/19,22:35:00,nonstop,8358
SYD,MEL,296857819,Air,1116754317,143.98,QF,Boeing 737,Economy,465,AU,Sydney,-33.932922,151.179898,28/11/19,19:00:00,AU,Melbourne,-37.673295,144.843013,28/11/19,20:35:00,nonstop,706
MEL,SYD,296857819,Air,1116754317,143.98,QF,Boeing 737,Economy,412,AU,Melbourne,-37.673295,144.843013,26/11/19,7:30:00,AU,Sydney,-33.932922,151.179898,26/11/19,8:55:00,nonstop,705
YVR,LAX,296857828,Air,1116754352,1270.22,QF,Boeing 737,Economy,3356,CA,Vancouver,49.194697,-123.179191,17/11/19,16:15:00,US,Los Angeles,33.943399,-118.408279,17/11/19,19:06:00,nonstop,1741
LAX,MEL,296857828,Air,1116754352,1270.22,QF,Airbus Industrie A380,Economy,94,US,Los Angeles,33.943399,-118.408279,17/11/19,22:50:00,AU,Melbourne,-37.673295,144.843013,19/11/19,9:50:00,nonstop,12758
SYD,MEL,296857828,Air,1116756522,521.32,QF,Boeing 737,Economy,455,AU,Sydney,-33.932922,151.179898,1/11/19,17:30:00,AU,Melbourne,-37.673295,144.843013,1/11/19,19:05:00,nonstop,706
MEL,LAX,296857828,Air,1116754352,1270.22,QF,Boeing 787-9,Economy,95,AU,Melbourne,-37.673295,144.843013,1/11/19,22:20:00,US,Los Angeles,33.943399,-118.408279,1/11/19,18:40:00,nonstop,12758
LAX,YYZ,296857828,Air,1116754352,1270.22,AC,Boeing 787-9,Economy,788,US,Los Angeles,33.943399,-118.408279,1/11/19,22:35:00,CA,Toronto Lester B,43.6777,-115.4841947,2/11/19,5:58:00,nonstop,3494
MEL,SYD,296857828,Air,1116756522,521.32,QF,Airbus Industrie A330,Economy,464,AU,Melbourne,-37.673295,144.843013,29/10/19,19:30:00,AU,Sydney,-33.932922,151.179898,29/10/19,20:55:00,nonstop,705
SYD,MEL,296858505,Air,1116756497,907.28,QF,Boeing 737,Economy,487,AU,Sydney,-33.932922,151.179898,24/10/19,20:00:00,AU,Melbourne,-37.673295,144.843013,24/10/19,21:35:00,nonstop,705
MEL,SYD,296858505,Air,1116756497,907.28,QF,Boeing 737,Economy,418,AU,Melbourne,-37.673295,144.843013,21/10/19,9:00:00,AU,Sydney,-33.932922,151.179898,21/10/19,10:25:00,nonstop,705
SYD,MEL,296857848,Air,1116754402,1251.31,QF,Airbus Industrie A330,Economy,415,AU,Sydney,-33.932922,151.179898,21/9/19,8:00:00,AU,Melbourne,-37.673295,144.843013,21/9/19,9:35:00,nonstop,706
MNL,SYD,296857848,Air,1116754402,1251.31,QF,Airbus Industrie A330,Economy,20,PH,Manila,14.511205,121.019208,20/9/19,20:00:00,AU,Sydney,-33.932922,151.179898,21/9/19,6:10:00,nonstop,6259
MEL,SYD,296857848,Air,1116754402,1251.31,QF,Boeing 737,Economy,418,AU,Melbourne,-37.673295,144.843013,15/9/19,9:00:00,AU,Sydney,-33.932922,151.179898,15/9/19,10:25:00,nonstop,705
SYD,MNL,296857848,Air,1116754402,1251.31,QF,Airbus Industrie A330,Economy,19,AU,Sydney,-33.932922,151.179898,15/9/19,12:10:00,PH,Manila Ninoy Aquino,14.511205,121.019208,15/9/19,18:30:00,nonstop,6263
SYD,MEL,296858184,Air,1116755390,55.97,QF,Airbus A330-300,Economy,489,AU,Sydney,-33.932922,151.179898,15/8/19,19:45:00,AU,Melbourne,-37.673295,144.843013,15/8/19,21:20:00,nonstop,705
MEL,SYD,296857838,Air,1116754381,191.96,QF,Boeing 737,Economy,424,AU,Melbourne,-37.673295,144.843013,13/8/19,10:30:00,AU,Sydney,-33.932922,151.179898,13/8/19,11:55:00,nonstop,705
MCO,LAX,296857868,Air,1116754466,2204.74,QF,Airbus A321neo,Economy,4116,US,Orlando,28.432177,-81.308301,19/5/19,17:05:00,US,Los Angeles,33.943399,-118.408279,19/5/19,19:33:00,nonstop,3563
LAX,MEL,296857868,Air,1116754466,2204.74,QF,Airbus Industrie A380,Economy,94,US,Los Angeles,33.943399,-118.408279,19/5/19,22:40:00,AU,Melbourne,-37.673295,144.843013,21/5/19,7:30:00,nonstop,12758
LAX,MCO,296857868,Air,1116754466,2204.74,QF,Airbus A321 (sharklets),Economy,3215,US,Los Angeles,33.943399,-118.408279,12/5/19,15:36:00,US,Orlando,28.432177,-81.308301,12/5/19,23:28:00,nonstop,3563
MEL,LAX,296857868,Air,1116754466,2204.74,QF,Airbus Industrie A380,Economy,93,AU,Melbourne,-37.673295,144.843013,11/5/19,9:00:00,US,Los Angeles,33.943399,-118.408279,11/5/19,6:25:00,nonstop,12758
BNE,MEL,296858175,Air,1116755363,1141.01,QF,Boeing 737,Economy,637,AU,Brisbane,-27.403031,153.109058,16/4/19,19:10:00,AU,Melbourne,-37.673295,144.843013,16/4/19,21:35:00,nonstop,1381
MEL,BNE,296858175,Air,1116755363,1141.01,QF,Boeing 737,Economy,636,AU,Melbourne,-37.673295,144.843013,14/4/19,20:10:00,AU,Brisbane,-27.403031,153.109058,14/4/19,22:20:00,nonstop,1381
SYD,MEL,296857892,Air,1116754513,432.42,QF,Boeing 737,Economy,489,AU,Sydney,-33.932922,151.179898,28/3/19,20:00:00,AU,Melbourne,-37.673295,144.843013,28/3/19,21:35:00,nonstop,705
MEL,SYD,296857892,Air,1116754513,432.42,QF,Boeing 737,Economy,490,AU,Melbourne,-37.673295,144.843013,24/3/19,20:00:00,AU,Sydney,-33.932922,151.179898,24/3/19,21:25:00,nonstop,705
SFO,MEL,296857881,Air,1116754480,1232,QF,Boeing 787-9,Economy,50,US,San Francisco,37.615215,-122.389881,16/3/19,21:10:00,AU,Melbourne,-37.673295,144.843013,18/3/19,6:45:00,nonstop,12653
MEL,SYD,296857881,Air,1116754480,1232,QF,Airbus Industrie A330,Economy,438,AU,Melbourne,-37.673295,144.843013,9/3/19,14:00:00,AU,Sydney,-33.932922,151.179898,9/3/19,15:25:00,nonstop,705
SYD,SFO,296857881,Air,1116754480,1232,QF,Boeing 747,Economy,73,AU,Sydney,-33.932922,151.179898,9/3/19,17:55:00,US,San Francisco,37.615215,-122.389881,9/3/19,12:25:00,nonstop,11950
SYD,MEL,296858164,Air,1116755340,689.91,QF,Boeing 737,Economy,489,AU,Sydney,-33.932922,151.179898,14/2/19,20:00:00,AU,Melbourne,-37.673295,144.843013,14/2/19,21:35:00,nonstop,705
MEL,SYD,296858164,Air,1116755340,689.91,QF,Boeing 737,Economy,490,AU,Melbourne,-37.673295,144.843013,10/2/19,20:00:00,AU,Sydney,-33.932922,151.179898,10/2/19,21:25:00,nonstop,705
CMB,SIN,296857854,Air,1116754418,930.74,QF,Boeing 777,Economy,8348,LK,Colombo,7.174112,79.886494,11/8/18,15:05:00,SG,Singapore,1.361173,103.990201,11/8/18,21:35:00,nonstop,2750
SIN,MEL,296857854,Air,1116754418,930.74,QF,Airbus Industrie A330,Economy,38,SG,Singapore,1.361173,103.990201,11/8/18,23:50:00,AU,Melbourne,-37.673295,144.843013,12/8/18,9:15:00,nonstop,6033
SIN,CMB,296857854,Air,1116754418,930.74,QF,Boeing 777,Economy,8349,SG,Singapore,1.361173,103.990201,3/8/18,0:50:00,LK,Colombo,7.174112,79.886494,3/8/18,1:55:00,nonstop,2750
MEL,SIN,296857854,Air,1116754418,930.74,QF,Airbus Industrie A330,Economy,37,AU,Melbourne,-37.673295,144.843013,2/8/18,16:15:00,SG,Singapore,1.361173,103.990201,2/8/18,22:25:00,nonstop,6033
SIN,MEL,296858048,Air,1116754996,367.01,JQ,Boeing 787 Dreamliner,Economy,8,SG,Singapore,1.361173,103.990201,15/4/18,21:00:00,AU,Melbourne,-37.673295,144.843013,16/4/18,6:20:00,nonstop,6033
MEL,SGN,296858042,Air,1116754979,331.31,JQ,Boeing 787 Dreamliner,Economy,63,AU,Melbourne,-37.673295,144.843013,5/4/18,15:15:00,VN,Ho Chi Minh City,10.813045,106.662477,5/4/18,21:05:00,nonstop,6699
KUL,SYD,296858151,Air,1116755301,900,MH,Airbus A330-300,Economy,123,MY,Kuala Lumpur,2.744344,101.717259,19/4/17,23:45:00,AU,Sydney,-33.932922,151.179898,20/4/17,10:00:00,nonstop,6585
SYD,KUL,296858151,Air,1116755301,800,MH,Airbus A330-300,Economy,140,AU,Sydney,-33.932922,151.179898,11/4/17,22:10:00,MY,Kuala Lumpur,2.744344,101.717259,12/4/17,5:00:00,nonstop,6585
SYD,AVV,296858037,Air,1116754967,194,JQ,Airbus A320,Economy,611,AU,Sydney,-33.932922,151.179898,1/1/17,22:00:00,AU,Avalon,-38.026372,144.473084,1/1/17,23:35:00,nonstop,756
AVV,SYD,296858037,Air,1116754967,194,JQ,Airbus A320,Economy,602,AU,Avalon,-38.026372,144.473084,23/12/16,6:00:00,AU,Sydney,46.166667,-60.05,23/12/16,7:25:00,nonstop,756
CMB,SIN,296858148,Air,1116755290,900,EK,Airbus A330-300,Economy,348,LK,Colombo,7.174112,79.886494,25/2/16,14:45:00,SG,Singapore,1.361173,103.990201,25/2/16,21:05:00,nonstop,2750
SIN,SYD,296858148,Air,1116755290,900,EK,Airbus A330-300,Economy,5006,SG,Singapore,1.361173,103.990201,25/2/16,23:50:00,AU,Sydney,-33.932922,151.179898,26/2/16,10:55:00,nonstop,6294
SIN,CMB,296858148,Air,1116755290,900,EK,Airbus A330-300,Economy,349,SG,Singapore,1.361173,103.990201,23/11/15,0:30:00,LK,Colombo,7.174112,79.886494,23/11/15,1:40:00,nonstop,2750
SYD,SIN,296858148,Air,1116755290,800,EK,Airbus A330-300,Economy,5005,AU,Sydney,-33.932922,151.179898,20/11/15,17:15:00,SG,Singapore,1.361173,103.990201,20/11/15,22:30:00,nonstop,6294
MEL,ADL,1,Air,1,300,VA,Boeing 737,Economy,219,AU,Melbourne,-37.673295,144.843013,14/12/18,10:10:00,AU,Adelaide,-34.9462,138.5332,14/12/18,11:00,nonstop,641
ADL,DOH,1,Air,1,1000,QR,Airbus A350-900,Economy,915,AU,Adelaide,-34.9462,138.5332,14/12/18,21:55:00,QA,Doha,25.2609,51.6138,15/12/18,4:20,nonstop,11324
DOH,AMS,1,Air,1,400,QR,Boeing 777-300ER,Economy,273,QA,Doha,25.2609,51.6138,17/12/18,8:00:00,NL,Amsterdam,52.3105,4.7683,17/12/18,13:20,nonstop,4921
VIE,BGY,1,Air,1,300,OE,Boeing 737,Economy,318,AT,Vienna,48.1126,16.5755,1/1/19,6:55:00,IT,Milan,45.6696,9.7036,1/1/19,8:25,nonstop,587
NAP,BCN,1,Air,1,400,FR,Boeing 737,Economy,5711,IT,Naples,40.8847,14.2892,11/1/19,10:50:00,ES,Barcelona,41.2974,2.0833,11/1/19,12:50,nonstop,1022
MAD,SVQ,1,Air,1,500,I2,Boeing 737,Economy,3948,ES,Madrid,40.4983,-3.5676,17/1/19,19:45:00,ES,Seville,37.4202,5.893,17/1/19,20:45,nonstop,396
SVQ,LIS,1,Air,1,300,TP,Boeing 737,Economy,1099,ES,Seville,37.4202,-5.893,20/1/19,10:00:00,PT,Lisbon,38.7756,9.1354,20/1/19,10:10,nonstop,321
LIS,IST,1,Air,1,400,TK,Boeing 777-300ER,Economy,1760,PT,Lisbon,38.7756,-9.1354,23/1/19,16:00:00,TK,Istanbul,41.2599,28.7427,23/1/19,23:50,nonstop,3222
IST,SIN,1,Air,1,900,TK,Boeing 777-300ER,Economy,54,TK,Istanbul,41.2599,28.7427,24/1/19,1:55:00,SG,Singapore,1.3644,103.9915,24/1/19,17:30,nonstop,8669
SIN,BNE,1,Air,1,800,EK,Boeing 777-300ER,Economy,432,SG,Singapore,1.3644,103.9915,26/1/19,10:10:00,AU,Brisbane,-27.403031,153.109058,26/1/19,19:40,nonstop,6142
BNE,MEL,1,Air,1,300,EK,Boeing 737,Economy,5613,AU,Brisbane,-27.403031,153.109058,27/1/19,9:10:00,AU,Melbourne,-37.673295,144.843013,27/1/19,12:30,nonstop,1380
MEL,AKL,2,Air,2,500,JQ,Boeing 787 Dreamliner,Economy,217,AU,Melbourne,-37.673295,144.843013,19/9/18,23:45,NZ,Auckland,-37.0082476,174.7828471,19/9/18,5:20,nonstop,2638
AKL,MEL,2,Air,2,300,JQ,Boeing 787 Dreamliner,Economy,216,NZ,Auckland,-37.0082476,174.7828471,29/9/18,20:50,AU,Melbourne,-37.673295,144.843013,29/9/18,22:55,nonstop,2638
