StartAirport,EndAirport,TripID,Type,ActivityID,ActivityCostAUD,AirlineCode,Aircraft,ServiceClass,FlightNumber,StartCountry,StartCityName,StartLat,StartLong,StartDate,StartTime,EndCountry,EndCityName,EndLat,EndLong,EndDate,EndTime,Stops,DistanceKM
CBR,MEL,306007947,Air,1141935494,1241.36,QF,Boeing 737-800 (winglets) Passenger/BBJ2,Economy,867,AU,Canberra,-35.30735,149.190528,23/4/21,17:35:00,AU,Melbourne,-37.673295,144.843013,23/4/21,18:45:00,nonstop,468
MEL,CBR,306007947,Air,1141935494,1241.36,QF,Boeing 717-200,Economy,1516,AU,Melbourne,-37.673295,144.843013,20/4/21,10:10:00,AU,Canberra,-35.30735,149.190528,20/4/21,11:15:00,nonstop,468
SYD,MEL,305316367,Air,1140039658,502,VA,Boeing 737-800 (winglets) Passenger/BBJ2,Economy,882,AU,Sydney,-33.932922,151.179898,21/3/21,19:00:00,AU,Melbourne,-37.673295,144.843013,21/3/21,20:35:00,nonstop,705
CBR,SYD,305312206,Air,1140385947,1313.16,QF,De Havilland (Bombardier) DHC-8-300 Dash 8 / 8Q,Economy,1444,AU,Canberra,-35.30735,149.190528,18/3/21,17:00:00,AU,Sydney,-33.932922,151.179898,18/3/21,17:55:00,nonstop,235
MEL,SYD,305312206,Air,1140269701,350,VA,Boeing 737-800 (winglets) Passenger/BBJ2,Economy,827,AU,Melbourne,-37.673295,144.843013,17/3/21,9:00:00,AU,Sydney,-33.932922,151.179898,17/3/21,10:25:00,nonstop,705
MEL,CBR,305312206,Air,1140028468,1313.16,QF,Boeing 717-200,Economy,1556,AU,Melbourne,-37.673295,144.843013,15/3/21,9:55:00,AU,Canberra,-35.30735,149.190528,15/3/21,10:55:00,nonstop,468
CBR,MEL,305057411,Air,1139356515,1943.85,QF,Boeing 717-200,Economy,1563,AU,Canberra,-35.30735,149.190528,4/3/21,17:35:00,AU,Melbourne,-37.673295,144.843013,4/3/21,18:40:00,nonstop,468
MEL,CBR,305057411,Air,1139356515,1943.85,QF,Boeing 717-200,Business,1554,AU,Melbourne,-37.673295,144.843013,1/3/21,7:55:00,AU,Canberra,-35.30735,149.190528,1/3/21,8:55:00,nonstop,468
CBR,MEL,304477335,Air,1137848242,938.08,QF,Boeing 717-200,Economy,1563,AU,Canberra,-35.30735,149.190528,22/1/21,17:35:00,AU,Melbourne,-37.673295,144.843013,22/1/21,18:40:00,nonstop,468
MEL,CBR,304477335,Air,1137848242,938.08,QF,Boeing 717-200,Economy,1554,AU,Melbourne,-37.673295,144.843013,18/1/21,7:55:00,AU,Canberra,-35.30735,149.190528,18/1/21,8:55:00,nonstop,468
CBR,MEL,304164279,Air,1136968809,466.42,QF,Boeing 717-200,Economy,1559,AU,Canberra,-35.30735,149.190528,10/1/21,14:05:00,AU,Melbourne,-37.673295,144.843013,10/1/21,15:10:00,nonstop,468
CBR,MEL,304164279,Air,1137302609,39.93,QF,Boeing 717-200,Economy,1563,AU,Canberra,-35.30735,149.190528,8/1/21,17:35:00,AU,Melbourne,-37.673295,144.843013,8/1/21,18:40:00,nonstop,468
MEL,CBR,304164279,Air,1136968809,466.42,QF,Boeing 717-200,Economy,1554,AU,Melbourne,-37.673295,144.843013,5/1/21,7:55:00,AU,Canberra,-35.30735,149.190528,5/1/21,8:55:00,nonstop,468
MEL,CBR,304164279,Air,1137302609,39.93,QF,Boeing 717-200,Economy,1554,AU,Melbourne,-37.673295,144.843013,5/1/21,7:55:00,AU,Canberra,-35.30735,149.190528,5/1/21,8:55:00,nonstop,468
SYD,MEL,299639626,Air,1124645567,1267.47,QF,Airbus A330-200,Economy,415,AU,Sydney,-33.932922,151.179898,6/3/20,8:00:00,AU,Melbourne,-37.673295,144.843013,6/3/20,9:35:00,nonstop,705
MNL,SYD,299639626,Air,1124645567,1267.47,QF,Airbus A330-300,Economy,20,PH,Manila,14.511205,121.019208,5/3/20,19:00:00,AU,Sydney,-33.932922,151.179898,6/3/20,6:20:00,nonstop,6259
MEL,SYD,299639626,Air,1124645567,1267.47,QF,Boeing 737-800 (winglets) Passenger/BBJ2,Economy,418,AU,Melbourne,-37.673295,144.843013,1/3/20,9:00:00,AU,Sydney,-33.932922,151.179898,1/3/20,10:25:00,nonstop,705
SYD,MNL,299639626,Air,1124645567,1267.47,QF,Airbus A330-200,Economy,19,AU,Sydney,-33.932922,151.179898,1/3/20,12:25:00,PH,Manila,14.511205,121.019208,1/3/20,17:30:00,nonstop,6259
CMB,MEL,296857494,Air,1116753278,600,UL,Airbus A330-300,Business,604,LK,Colombo,7.174112,79.886494,15/2/20,0:25:00,AU,Melbourne,-37.673295,144.843013,15/2/20,15:55:00,nonstop,8352
BOM,CMB,296857494,Air,1116753278,600,UL,Airbus A320 (sharklets),Economy,144,IN,Mumbai,19.089891,72.868047,13/2/20,20:45:00,LK,Colombo,7.174112,79.886494,13/2/20,23:10:00,nonstop,1524
MEL,KUL,296857494,Air,1116753275,850.4,MH,Airbus A330-300,Business,146,AU,Melbourne,-37.673295,144.843013,9/2/20,12:10:00,MY,Kuala Lumpur,2.744344,101.717259,9/2/20,17:30:00,nonstop,6310
KUL,BOM,296857494,Air,1116753275,850.4,MH,Airbus A330-300,Economy,194,MY,Kuala Lumpur,2.744344,101.717259,9/2/20,19:55:00,IN,Mumbai,19.089891,72.868047,9/2/20,22:25:00,nonstop,3623
SYD,MEL,296857491,Air,1119848086,18.01,QF,Airbus A330-200,Economy,459,AU,Sydney,-33.932922,151.179898,7/2/20,18:00:00,AU,Melbourne,-37.673295,144.843013,7/2/20,19:35:00,nonstop,705
MNL,SYD,296857491,Air,1116753271,1868.95,QF,Airbus A330-300,Economy,20,PH,Manila,14.511205,121.019208,6/2/20,19:00:00,AU,Sydney,-33.932922,151.179898,7/2/20,6:20:00,nonstop,6259
MEL,SYD,296857491,Air,1119848086,18.01,QF,Airbus A330-200,Economy,414,AU,Melbourne,-37.673295,144.843013,3/2/20,8:00:00,AU,Sydney,-33.932922,151.179898,3/2/20,9:25:00,nonstop,705
SYD,MNL,296857491,Air,1116753271,1868.95,QF,Airbus A330-200,Economy,19,AU,Sydney,-33.932922,151.179898,2/2/20,12:25:00,PH,Manila,14.511205,121.019208,2/2/20,17:30:00,nonstop,6259
BNE,MEL,296857488,Air,1116756757,301.2,QF,Boeing 737-800 (winglets) Passenger/BBJ2,Economy,637,AU,Brisbane,-27.403031,153.109058,28/1/20,19:40:00,AU,Melbourne,-37.673295,144.843013,28/1/20,23:00:00,nonstop,1379
MEL,OOL,296857488,Air,1116755009,193.92,JQ,Airbus A321,Economy,434,AU,Melbourne,-37.673295,144.843013,23/1/20,18:30:00,AU,Coolangatta (Gold Coast),-28.166164,153.513137,23/1/20,19:35:00,nonstop,1330
PER,MEL,296857676,Air,1116753867,1459,QF,Airbus Industrie A330,Economy,776,AU,Perth,-31.933604,115.960236,21/12/19,16:55:00,AU,Melbourne,-37.673295,144.843013,21/12/19,23:30:00,nonstop,2701
MEL,PER,296857676,Air,1116753867,1459,QF,Airbus Industrie A330,Economy,485,AU,Melbourne,-37.673295,144.843013,17/12/19,9:35:00,AU,Perth,-31.933604,115.960236,17/12/19,10:40:00,nonstop,2701
SYD,MEL,296857805,Air,1116754308,2794.31,QF,Boeing 737,Economy,415,AU,Sydney,-33.932922,151.179898,15/12/19,8:00:00,AU,Melbourne,-37.673295,144.843013,15/12/19,9:35:00,nonstop,706
SAT,DFW,296857805,Air,1116754308,2794.31,QF,Airbus Industrie A321,Economy,4458,US,San Antonio,29.524937,-98.472643,13/12/19,16:26:00,US,Dallas,32.897462,-97.036128,13/12/19,17:39:00,nonstop,398
DFW,SYD,296857805,Air,1116754308,2794.31,QF,Airbus Industrie A380,Economy,8,US,Dallas,32.897462,-97.036128,13/12/19,19:45:00,AU,Sydney,-33.932922,151.179898,15/12/19,6:05:00,nonstop,13808
SYD,MEL,296857805,Air,1116754278,658.82,QF,Boeing 737,Economy,463,AU,Sydney,-33.932922,151.179898,12/12/19,18:30:00,AU,Melbourne,-37.673295,144.843013,12/12/19,20:05:00,nonstop,706
MEL,SYD,296857805,Air,1116754278,658.82,QF,Boeing 737,Economy,412,AU,Melbourne,-37.673295,144.843013,10/12/19,7:30:00,AU,Sydney,-33.932922,151.179898,10/12/19,8:55:00,nonstop,705
MEL,SYD,296857805,Air,1116754308,2794.31,QF,Boeing 737,Economy,428,AU,Melbourne,-37.673295,144.843013,8/12/19,11:30:00,AU,Sydney,-33.932922,151.179898,8/12/19,12:55:00,nonstop,705
SYD,DFW,296857805,Air,1116754308,2794.31,QF,Airbus Industrie A380,Economy,7,AU,Sydney,-33.932922,151.179898,8/12/19,14:40:00,US,Dallas,32.897462,-97.036128,8/12/19,12:55:00,nonstop,13808
DFW,SAT,296857805,Air,1116754308,2794.31,QF,Airbus Industrie A321,Economy,4301,US,Dallas,32.897462,-97.036128,8/12/19,14:25:00,US,San Antonio,29.524937,-98.472643,8/12/19,15:36:00,nonstop,398
